iter	Passed	Remaining
589	50329	34974
590	50417	34890
591	50500	34804
592	50600	34729
593	50715	34664
594	50806	34582
595	50892	34497
596	50975	34410
597	51067	34329
598	51151	34243
599	51239	34159
600	51378	34109
601	51474	34031
602	51556	33943
603	51648	33862
604	51747	33785
605	51850	33711
606	51934	33624
607	52012	33534
608	52092	33445
609	52175	33357
610	52259	33271
611	52349	33188
612	52461	33120
613	52561	33043
614	52683	32980
615	52807	32918
616	52924	32852
617	53083	32812
618	53175	32729
619	53253	32639
620	53343	32556
621	53434	32473
622	53522	32388
623	53602	32299
624	53683	32210
625	53761	32119
626	53842	32030
627	53933	31947
628	54009	31856
629	54089	31766
630	54167	31676
631	54250	31588
632	54345	31508
633	54426	31419
634	54503	31328
635	54589	31243
636	54669	31153
637	54740	31059
638	54818	30969
639	54891	30876
640	54964	30783
641	55039	30691
642	55115	30600
643	55187	30507
644	55262	30415
645	55339	30325
646	55413	30233
647	55487	30141
648	55564	30051
649	55655	29968
650	55735	29879
651	55815	29790
652	55893	29701
653	55970	29611
654	56046	29520
655	56117	29427
656	56201	29340
657	56317	29271
658	56395	29181
659	56470	29091
660	56545	28999
661	56616	28907
662	56690	28815
663	56768	28726
664	56844	28635
665	56925	28548
666	57004	28459
667	57077	28367
668	57150	28276
669	57225	28185
670	57296	28093
671	57372	28003
672	57455	27916
673	57535	27828
674	57620	27743
675	57702	27656
676	57782	27568
677	57863	27480
678	57946	27394
679	58026	27306
680	58119	27224
681	58202	27138
682	58281	27050
683	58364	26963
684	58446	26876
685	58528	26790
686	58611	26703
687	58695	26617
688	58787	26535
689	58871	26449
690	58951	26361
691	59035	26276
692	59121	26190
693	59199	26102
694	59271	26011
695	59352	25924
696	59433	25836
697	59509	25747
698	59588	25659
699	59670	25573
700	59749	25485
701	59829	25397
702	59910	25310
703	60001	25228
704	60080	25140
705	60158	25051
706	60239	24964
707	60321	24878
708	60406	24793
709	60490	24707
710	60579	24623
711	60693	24550
712	60783	24466
713	60866	24380
714	60945	24293
715	61027	24206
716	61109	24119
717	61185	24030
718	61261	23942
719	61337	23853
720	61415	23765
721	61509	23683
722	61611	23604
723	61694	23518
724	61779	23433
725	61856	23345
726	61932	23256
727	62012	23169
728	62090	23081
729	62175	22996
730	62263	22912
731	62348	22827
732	62427	22739
733	62507	22652
734	62585	22564
735	62655	22474
736	62727	22384
737	62813	22299
738	62895	22213
739	62977	22127
740	63054	22039
741	63142	21955
742	63223	21868
743	63300	21780
744	63375	21692
745	63457	21606
746	63542	21521
747	63629	21436
748	63718	21353
749	63798	21266
750	63875	21178
751	63952	21090
752	64032	21004
753	64105	20915
754	64188	20829
755	64273	20744
756	64358	20659
757	64440	20573
758	64524	20488
759	64601	20400
760	64682	20314
761	64764	20228
762	64843	20141
763	64936	20058
764	65023	19974
765	65123	19894
766	65200	19806
767	65272	19717
768	65343	19628
769	65417	19540
770	65493	19452
771	65568	19364
772	65639	19275
773	65715	19188
774	65785	19098
775	65868	19013
776	65943	18925
777	66014	18836
778	66087	18748
779	66162	18661
780	66234	18572
781	66309	18485
782	66383	18397
783	66469	18312
784	66544	18225
785	66619	18138
786	66691	18050
787	66764	17961
788	66840	17874
789	66914	17787
790	66988	17699
791	67061	17612
792	67134	17524
793	67209	17437
794	67284	17350
795	67356	17262
796	67429	17174
797	67510	17089
798	67589	17003
799	67673	16918
800	67757	16833
801	67835	16747
802	67912	16660
803	67987	16574
804	68059	16486
805	68134	16399
806	68215	16314
807	68309	16232
808	68391	16146
809	68469	16060
810	68543	15973
811	68639	15891
812	68721	15806
813	68808	15722
814	68889	15637
815	68965	15551
816	69038	15463
817	69113	15377
818	69188	15290
819	69263	15204
820	69364	15123
821	69449	15039
822	69530	14953
823	69613	14868
824	69693	14783
825	69779	14699
826	69886	14619
827	69969	14534
828	70049	14449
829	70130	14364
830	70208	14278
831	70283	14191
832	70357	14105
833	70433	14019
834	70512	13933
835	70596	13849
836	70687	13765
837	70779	13682
838	70866	13598
839	70956	13515
840	71045	13431
841	71128	13347
842	71208	13261
843	71287	13176
844	71368	13091
845	71448	13005
846	71525	12920
847	71604	12834
848	71695	12751
849	71792	12669
850	71878	12585
851	71963	12500
852	72044	12415
853	72126	12330
854	72209	12246
855	72290	12161
856	72368	12075
857	72446	11989
858	72522	11904
859	72598	11818
860	72672	11732
861	72747	11646
862	72823	11560
863	72897	11474
864	72970	11388
865	73057	11304
866	73136	11219
867	73209	11133
868	73284	11047
869	73365	10962
870	73455	10879
871	73540	10794
872	73624	10710
873	73698	10624
874	73776	10539
875	73853	10454
876	73932	10369
877	74017	10284
878	74103	10200
879	74177	10115
880	74255	10030
881	74332	9944
882	74409	9859
883	74490	9774
884	74572	9690
885	74647	9604
886	74724	9519
887	74796	9433
888	74869	9348
889	74943	9262
890	75016	9177
891	75090	9091
892	75166	9006
893	75245	8921
894	75328	8837
895	75401	8751
896	75479	8667
897	75552	8581
898	75626	8496
899	75701	8411
900	75772	8325
901	75846	8240
902	75923	8155
903	75997	8070
904	76070	7985
905	76148	7900
906	76220	7815
907	76293	7730
908	76368	7645
909	76443	7560
910	76518	7475
911	76593	7390
912	76664	7305
913	76736	7220
914	76810	7135
915	76883	7050
916	76957	6965
917	77036	6881
918	77112	6796
919	77183	6711
920	77258	6626
921	77330	6542
922	77402	6457
923	77475	6372
924	77548	6287
925	77624	6203
926	77698	6118
927	77767	6033
928	77842	5949
929	77916	5864
930	77990	5780
931	78063	5695
932	78145	5611
933	78221	5527
934	78295	5442
935	78368	5358
936	78442	5274
937	78514	5189
938	78594	5105
939	78684	5022
940	78787	4939
941	78892	4857
942	78964	4773
943	79038	4688
944	79129	4605
945	79207	4521
946	79285	4437
947	79359	4353
948	79430	4268
949	79516	4185
950	79591	4100
951	79662	4016
952	79734	3932
953	79808	3848
954	79881	3764
955	79955	3679
956	80030	3595
957	80105	3511
958	80179	3427
959	80254	3343
960	80326	3259
961	80399	3175
962	80476	3092
963	80547	3008
964	80620	2924
965	80694	2840
966	80766	2756
967	80854	2672
968	80929	2589
969	81003	2505
970	81074	2421
971	81155	2337
972	81227	2254
973	81309	2170
974	81391	2086
975	81474	2003
976	81559	1920
977	81636	1836
978	81708	1752
979	81782	1669
980	81856	1585
981	81929	1501
982	82005	1418
983	82080	1334
984	82159	1251
985	82234	1167
986	82306	1084
987	82377	1000
988	82451	917
989	82528	833
990	82598	750
991	82673	666
992	82747	583
993	82822	499
994	82891	416
995	82966	333
996	83038	249
997	83113	166
998	83188	83
999	83260	0
